portfolio,AE_H1_mean,AE_HN_mean,AE_TN_mean,n_months,rank_AE_H1
ME4 BM3,0.8668739126604655,0.9574355900324987,0.7763122352884323,9758,1
ME4 BM1,0.8610013217615138,0.9590708349949122,0.7629318085281155,9758,2
ME4 BM4,0.8604645637202543,0.9594797099475484,0.76144941749296,9758,3
ME3 BM3,0.8552138204076876,0.9821303454158498,0.7282972953995253,9758,4
ME4 BM2,0.8546716848753565,0.9482109704146542,0.7611323993360589,9758,5
ME3 BM2,0.8544418780904587,0.9807187073713951,0.7281650488095224,9758,6
ME4 BM5,0.8535176329533912,0.9441746194144081,0.7628606464923744,9758,7
ME3 BM1,0.8527226488597975,0.9823361267596757,0.7231091709599192,9758,8
ME3 BM4,0.8522925811140358,0.9776581676852546,0.7269269945428173,9758,9
ME1 BM3,0.8373064739774655,0.9949374542097001,0.6796754937452308,9758,10
ME1 BM2,0.8362572142046732,0.9948351357725115,0.6776792926368351,9758,11
ME3 BM5,0.8341617364417827,0.9363287439989956,0.73199472888457,9758,12
ME1 BM4,0.8156001357633926,0.9955680560052349,0.6356322155215502,9758,13
SMALL HiBM,0.8012432223926321,0.9900413109606953,0.6124451338245692,9758,14
SMALL LoBM,0.7831585228922645,0.9940530900009731,0.5722639557835562,9758,15
ME2 BM1,0.7776100435612987,0.9917830528813616,0.5634370342412357,9758,16
ME2 BM2,0.7726838387328517,0.9930746144298891,0.5522930630358144,9758,17
ME2 BM3,0.7715958774490388,0.9921146963554756,0.551077058542602,9758,18
ME2 BM4,0.768359430196756,0.992106890982219,0.5446119694112931,9758,19
ME2 BM5,0.7498697060199349,0.991493371544583,0.5082460404952867,9758,20
BIG LoBM,0.7043948196673661,0.5706818131371071,0.838107826197625,9758,21
ME5 BM2,0.6964697444654119,0.5673594264463093,0.8255800624845142,9758,22
ME5 BM4,0.6948513268115034,0.5694142560498002,0.8202883975732066,9758,23
BIG HiBM,0.6880423924120183,0.5590606739906835,0.8170241108333527,9758,24
ME5 BM3,0.672366581528696,0.5332480113269831,0.811485151730409,9758,25
