portfolio,AE_half_normal,AE_rank_half_normal,log_likelihood_half_normal,AIC_half_normal,BIC_half_normal,converged_half_normal,AE_truncated_normal,AE_rank_truncated_normal,log_likelihood_truncated_normal,AIC_truncated_normal,BIC_truncated_normal,converged_truncated_normal,AE_difference,rank_difference,rank_spearman
ME2 BM4,0.9999186095360566,1,3215.340211072369,-6418.680422144738,-6388.175063612151,True,0.9208667588134668,14,3215.3402273815213,-6416.680454763043,-6381.090869808358,True,0.0790518507225898,-13,-0.5261538461538462
ME1 BM4,0.9999128486115232,2,2858.8817135952545,-5705.763427190509,-5675.258068657921,True,0.8928569199892087,22,2858.8816681430044,-5703.763336286009,-5668.173751331324,True,0.1070559286223145,-20,-0.5261538461538462
BIG LoBM,0.9999015131807405,3,3664.0016931745554,-7316.003386349111,-7285.498027816523,True,0.9217226093011859,12,3664.001703145608,-7314.003406291216,-7278.413821336531,True,0.07817890387955462,-9,-0.5261538461538462
ME3 BM1,0.9998971961632327,4,2983.229413551927,-5954.458827103854,-5923.953468571266,True,0.910051256092373,17,2983.229391773091,-5952.458783546182,-5916.869198591497,True,0.08984594007085966,-13,-0.5261538461538462
SMALL HiBM,0.9998939286254412,5,2736.015262124522,-5460.030524249044,-5429.525165716456,True,0.9030055899066328,20,2736.0152248793793,-5458.030449758759,-5422.4408648040735,True,0.09688833871880842,-15,-0.5261538461538462
ME1 BM3,0.9998934623594308,6,2513.161215859531,-5014.322431719062,-4983.817073186474,True,0.8870022088946373,23,2513.161192538133,-5012.322385076266,-4976.732800121581,True,0.11289125346479345,-17,-0.5261538461538462
ME2 BM3,0.9998772777695478,7,3068.229167311961,-6124.458334623922,-6093.952976091335,True,0.92214465221022,11,3068.229181842338,-6122.458363684676,-6086.868778729991,True,0.0777326255593278,-4,-0.5261538461538462
ME3 BM5,0.9998757748813311,8,2801.9253600638167,-5591.850720127633,-5561.345361595046,True,0.9066295556804147,19,2801.925331552353,-5589.850663104706,-5554.261078150021,True,0.09324621920091636,-11,-0.5261538461538462
ME4 BM1,0.9998711247149373,9,3211.6224506864833,-6411.2449013729665,-6380.739542840379,True,0.909366886718527,18,3211.6224643751366,-6409.244928750273,-6373.655343795588,True,0.09050423799641039,-9,-0.5261538461538462
BIG HiBM,0.9998682033176425,10,2332.575344797436,-4653.150689594872,-4622.645331062285,True,0.8806975644958049,24,2332.5753177859397,-4651.150635571879,-4615.561050617194,True,0.11917063882183754,-14,-0.5261538461538462
ME4 BM2,0.9998594735863364,11,3175.8553723473183,-6339.710744694637,-6309.205386162049,True,0.9187159061287762,15,3175.85541175596,-6337.71082351192,-6302.121238557235,True,0.08114356745756024,-4,-0.5261538461538462
ME4 BM4,0.9998592657195117,12,2981.5808437259075,-5951.161687451815,-5920.656328919227,True,0.9233843700082885,10,2981.580651391885,-5949.16130278377,-5913.571717829085,True,0.07647489571122312,2,-0.5261538461538462
ME2 BM2,0.9998576283092155,13,3023.742818331873,-6035.485636663746,-6004.980278131158,True,0.9258335382189101,5,3023.7427913386596,-6033.485582677319,-5997.895997722634,True,0.07402409009030542,8,-0.5261538461538462
ME3 BM2,0.9998574467029794,14,3155.562209950399,-6299.124419900798,-6268.61906136821,True,0.8996539063239399,21,3155.5622287684273,-6297.124457536855,-6261.53487258217,True,0.10020354037903945,-7,-0.5261538461538462
ME1 BM2,0.9998447386003184,15,2130.5262534073813,-4249.052506814763,-4218.547148282175,True,0.8533954139677308,25,2130.526237777958,-4247.052475555916,-4211.462890601231,True,0.14644932463258764,-10,-0.5261538461538462
ME3 BM3,0.9998440982947997,16,3131.413813683367,-6250.827627366734,-6220.322268834147,True,0.9285929885855101,3,3131.4138377641334,-6248.827675528267,-6213.238090573582,True,0.0712511097092896,13,-0.5261538461538462
SMALL LoBM,0.999840327453811,17,1496.0222072701679,-2980.0444145403358,-2949.539056007748,True,0.9990838552866212,1,1496.0194578817993,-2978.0389157635987,-2942.449330808913,True,0.0007564721671897701,16,-0.5261538461538462
ME5 BM2,0.9998366955360599,18,3391.461788057921,-6770.923576115842,-6740.418217583254,True,0.9265451868602327,4,3391.461830788815,-6768.92366157763,-6733.334076622945,True,0.07329150867582723,14,-0.5261538461538462
ME4 BM5,0.9997207481458333,19,2679.379420137487,-5346.758840274974,-5316.253481742387,True,0.9248725333721999,7,2679.3794032116693,-5344.758806423339,-5309.169221468654,True,0.07484821477363346,12,-0.5261538461538462
ME2 BM5,0.9943209544683694,20,3041.6027826519976,-6071.205565303995,-6040.7002067714075,True,0.9238909456540295,9,3041.619903288436,-6069.239806576872,-6033.650221622187,True,0.07043000881433992,11,-0.5261538461538462
ME4 BM3,0.9934654805598945,21,3080.5452083944656,-6149.090416788931,-6118.5850582563435,True,0.9243438224414322,8,3080.601430898716,-6147.202861797432,-6111.613276842747,True,0.06912165811846227,13,-0.5261538461538462
ME3 BM4,0.9905125176765555,22,3119.146463793722,-6226.292927587444,-6195.787569054856,True,0.925417187999528,6,3117.887419297912,-6221.774838595824,-6186.185253641139,True,0.06509532967702747,16,-0.5261538461538462
ME5 BM3,0.9891242405078915,23,3158.0043306103144,-6304.008661220629,-6273.503302688041,True,0.9119888213752897,16,3154.8974699882942,-6295.7949399765885,-6260.205355021903,True,0.0771354191326018,7,-0.5261538461538462
