portfolio,window_start,window_end,window_length,model_type,factor_model,AE,u_hat,convergence_status,message,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,rank,quintile
BIG HiBM,1926-07-31 23:59:59.999999,1936-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940497003685,0.0004060327205001975,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,136.99213113052878,-261.98426226105755,-245.25931180436527,0.0772630352408727,0.0005088866085855483,0.006586417515168284,11,3
BIG HiBM,1927-07-31 23:59:59.999999,1937-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940500022473,0.00040603241850041316,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,137.10750401708202,-262.21500803416404,-245.49005757747176,0.07718705283782562,0.0005088861591771436,0.006592895316865412,13,3
BIG HiBM,1928-07-31 23:59:59.999999,1938-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940498715743,0.00040603254924107283,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138.29469063341972,-264.58938126683944,-247.86443081014716,0.07642828603379127,0.0005088863365061399,0.00665835076140718,13,3
BIG HiBM,1929-07-31 23:59:59.999999,1939-06-30 23:59:59.999999,120,half_normal,ff3,0.999594050032881,0.0004060323878731927,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138.63036726535057,-265.26073453070114,-248.53578407400886,0.0762148725958586,0.0005088861378379091,0.006676992567269098,13,3
BIG HiBM,1930-07-31 23:59:59.999999,1940-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940505928985,0.00040603182762026264,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,137.9602576796117,-263.9205153592234,-247.1955649025311,0.07664158481568993,0.0005088854366953465,0.00663980837451535,13,3
BIG HiBM,1931-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940534233441,0.000406028996403035,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,162.58015026589206,-313.1603005317841,-296.43535007509183,0.06242526313092724,0.0005088818933212287,0.008151858202887,15,3
BIG HiBM,1932-07-31 23:59:59.999999,1942-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940538226776,0.000406028597299847,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,180.49205747311578,-348.98411494623156,-332.2591644895393,0.05376908915915688,0.0005088814262567259,0.00946420023501669,15,2
BIG HiBM,1933-07-31 23:59:59.999999,1943-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940602790107,0.0004060221404071848,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,231.60856487815485,-451.2171297563097,-434.4921792996174,0.03511663144070186,0.0005088733029049504,0.014490948648199265,16,2
BIG HiBM,1934-07-31 23:59:59.999999,1944-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940619773535,0.00040602044177302327,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,237.99948434347715,-463.9989686869543,-447.274018230262,0.0332956667115315,0.0005088711690136153,0.015283405297824378,16,2
BIG HiBM,1935-07-31 23:59:59.999999,1945-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940655505032,0.00040601686802728605,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,249.62233687542758,-487.24467375085516,-470.5197232941629,0.030221252361769972,0.0005088667222161815,0.016838042187156357,16,2
BIG HiBM,1936-07-31 23:59:59.999999,1946-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940672458372,0.0004060151723802122,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,254.1116988737877,-496.2233977475754,-479.4984472908831,0.029112380948937006,0.0005088645680135389,0.017479318126060704,16,2
BIG HiBM,1937-07-31 23:59:59.999999,1947-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940704418541,0.0004060119757775238,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,261.82875248181875,-511.6575049636375,-494.9325545069452,0.027299170740960575,0.0005088605596887165,0.0186401471501552,17,2
BIG HiBM,1938-07-31 23:59:59.999999,1948-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940733721357,0.000406009044903378,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,267.70731014154455,-523.4146202830891,-506.6896698263968,0.025993464516542567,0.0005088570018299946,0.019576343950078363,17,2
BIG HiBM,1939-07-31 23:59:59.999999,1949-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940774114447,0.0004060050048447392,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,275.3854446470958,-538.7708892941916,-522.0459388374994,0.024382946344472935,0.0005088518397827133,0.02086916948402581,17,2
BIG HiBM,1940-07-31 23:59:59.999999,1950-06-30 23:59:59.999999,120,half_normal,ff3,0.999594093905268,0.00040598850923311637,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,305.13812378641296,-598.2762475728259,-581.5512971161337,0.019027175733522292,0.0005088310219741313,0.026742330501403167,17,2
BIG HiBM,1941-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,120,half_normal,ff3,0.9995940990178471,0.00040598339596902185,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,311.7083452692769,-611.4166905385538,-594.6917400818616,0.018009525272805794,0.0005088246430181406,0.028253084704373682,17,2
BIG HiBM,1942-07-31 23:59:59.999999,1952-06-30 23:59:59.999999,120,half_normal,ff3,0.9995941243996482,0.0004059580096987139,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,333.93925925400515,-655.8785185080103,-639.1535680513181,0.01496600311464433,0.0005087931548315106,0.03399659554618515,17,2
BIG HiBM,1943-07-31 23:59:59.999999,1953-06-30 23:59:59.999999,120,half_normal,ff3,0.99959413898909,0.00040594341733449295,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,342.6248863852319,-673.2497727704638,-656.5248223137716,0.01391653506968753,0.0005087750787443791,0.036559033997806946,17,2
BIG HiBM,1944-07-31 23:59:59.999999,1954-06-30 23:59:59.999999,120,half_normal,ff3,0.9995941558982777,0.0004059265057965696,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,353.03983427630226,-694.0796685526045,-677.3547180959123,0.012762743534682196,0.0005087535227988427,0.0398623949009339,17,2
BIG HiBM,1945-07-31 23:59:59.999999,1955-06-30 23:59:59.999999,120,half_normal,ff3,0.9995941343043334,0.00040594810412817087,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,342.48912116036746,-672.9782423207349,-656.2532918640427,0.013936331742142816,0.0005087806031094665,0.036507497993244355,17,2
BIG HiBM,1946-07-31 23:59:59.999999,1956-06-30 23:59:59.999999,120,half_normal,ff3,0.9995941267163346,0.000405955693482501,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,337.72986940676776,-663.4597388135355,-646.7347883568433,0.014502623528391202,0.0005087901359381443,0.035082627287546034,17,2
BIG HiBM,1947-07-31 23:59:59.999999,1957-06-30 23:59:59.999999,120,half_normal,ff3,0.9995941182869286,0.00040596412465334914,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,332.5233538969407,-653.0467077938814,-636.3217573371892,0.015144509354566148,0.0005088005350014363,0.03359636968681526,17,2
BIG HiBM,1948-07-31 23:59:59.999999,1958-06-30 23:59:59.999999,120,half_normal,ff3,0.9995941104074766,0.0004059720057863389,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,327.4739198499701,-642.9478396999402,-626.222889243248,0.0157947897896716,0.0005088103950654024,0.03221381239262327,17,2
BIG HiBM,1949-07-31 23:59:59.999999,1959-06-30 23:59:59.999999,120,half_normal,ff3,0.999594111890066,0.00040597052317953075,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,329.3101171298045,-646.620234259609,-629.8952838029168,0.015554829292650915,0.000508808495472578,0.0327106447714583,18,2
BIG HiBM,1950-07-31 23:59:59.999999,1960-06-30 23:59:59.999999,120,half_normal,ff3,0.9995941009375876,0.00040598147789266877,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,321.69138707386287,-631.3827741477257,-614.6578236910335,0.016574805865213444,0.0005088222471754052,0.030698534348646667,18,2
