portfolio,window_start,window_end,window_length,model_type,factor_model,AE,u_hat,convergence_status,message,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,rank,quintile,sensitivity_window
BIG HiBM,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9685150295390511,0.03219090214717707,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126.37732504010543,-240.75465008021087,-228.18858270687826,0.017777655988256914,0.04033646935557404,2.2689419450021098,16,1,60
BIG HiBM,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9997343905725201,0.00026564471287944134,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,176.64215866765326,-341.2843173353065,-328.7182499619739,0.012736558570442051,0.00033293688197600215,0.026140254459996317,,,60
BIG HiBM,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9845365025811584,0.015623453075783195,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,162.07085067146343,-312.14170134292686,-299.57563396959426,0.011390884971969988,0.01963281721064603,1.7235550406274225,19,1,60
BIG HiBM,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9992480259783767,0.0007522571509127966,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,169.7563169616347,-327.5126339232694,-314.9465665499368,0.014278538926286846,0.000942807560021617,0.06602969427676557,,,60
BIG HiBM,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9818355108905111,0.018387602372874394,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156.9371133942333,-301.8742267884666,-289.308159415134,0.011514616439031417,0.02286374800705777,1.985628277599928,19,1,60
BIG HiBM,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.999797597600572,0.0002024228875810413,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,182.22704435741286,-352.45408871482573,-339.88802134149313,0.011607115746795418,0.0002536996524993876,0.021857251881840754,,,60
BIG HiBM,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9998149847802499,0.00018503233750107652,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138.02881919449632,-264.05763838899264,-251.49157101566004,0.02424758327396753,0.00023190367013799232,0.0095639910797612,13,2,60
BIG HiBM,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.9998149850726517,0.0001850320450643873,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,139.68247150995262,-267.36494301990524,-254.79887564657264,0.023588481467189035,0.00023190328408337205,0.009831208694207106,13,3,60
BIG HiBM,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9998149873008431,0.00018502981672779216,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156.97723299781964,-301.9544659956393,-289.3883986223067,0.017682035638155406,0.00023190048652113964,0.013115033317811567,13,3,60
BIG LoBM,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.996756621101273,0.003248973675584142,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,207.22949251810184,-402.45898503620367,-389.89291766287107,0.0072482759106944445,0.004072126885265621,0.5618062744076029,7,4,60
BIG LoBM,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9999030844782167,9.692021884742957e-05,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,225.667692108251,-439.335384216502,-426.7693168431694,0.0056270618766422675,0.00012147174640934223,0.021587064274798024,,,60
BIG LoBM,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9967863442279972,0.0032191993734676646,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,211.06490285163838,-410.12980570327676,-397.56373832994416,0.00675166146965175,0.004036545421539107,0.5978595697789498,14,2,60
BIG LoBM,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9996244684422404,0.00037560211499591286,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,186.50739924428464,-361.0147984885693,-348.4487311152367,0.010807146963007202,0.00047075040656187773,0.04355917506935489,,,60
BIG LoBM,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9997058320966618,0.0002942111853680856,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,170.9408931941263,-329.8817863882526,-317.31571901492,0.01401107531461153,0.0003687393636005531,0.02631770619461385,,,60
BIG LoBM,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9997710699945193,0.00022895621856283707,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,192.11082000344658,-372.22164000689315,-359.65557263356055,0.009842534831540984,0.0002869542867949939,0.029154510672944937,,,60
BIG LoBM,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9888617740357664,0.01122786153441782,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,190.8824239920129,-369.7648479840258,-357.1987806106932,0.005826685063893877,0.014209005981583634,2.4386088875186247,20,1,60
BIG LoBM,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.991412298529239,0.008640321649300928,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,217.88295766889496,-423.7659153377899,-411.1998479644573,0.0024965063961950103,0.01051958118674156,4.213720903248926,21,1,60
BIG LoBM,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9996565031445022,0.00034355590005693415,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,205.19671954428094,-398.3934390885619,-385.8273717152293,0.007911317582121286,0.0004305860066522692,0.05442658598680788,,,60
ME1 BM2,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9997548381316126,0.00024519192562400146,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81.79415418610344,-151.58830837220688,-139.02224099887428,0.06190289361710054,0.0003073025212659909,0.004964267472968327,4,5,60
ME1 BM2,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.999754842049255,0.0002451880085349201,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,153.4492889802682,-294.8985779605364,-282.3325105872038,0.0187516174618642,0.0003072976125416233,0.016387792315334125,10,3,60
ME1 BM2,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9997548332843774,0.00024519677456110757,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,125.87573791892343,-239.75147583784687,-227.18540846451427,0.029691745265234454,0.000307308587438756,0.010349967127010829,12,2,60
ME1 BM2,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9997548440067457,0.000245186051746786,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,169.43342873375676,-326.8668574675135,-314.3007900941809,0.01436574053914183,0.00030729515591030595,0.02139083293847815,12,2,60
ME1 BM2,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9997548583565942,0.0002451717007333879,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,187.52821563527147,-363.05643127054293,-350.49036389721033,0.010624853497408814,0.00030727717744094833,0.028920603706760476,12,2,60
ME1 BM2,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9997548496570662,0.00024518040142899563,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,181.15527995686838,-350.31055991373677,-337.74449254040417,0.011815784965681466,0.0003072880217168877,0.026006568552948025,12,2,60
ME1 BM2,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9997548333615099,0.0002451966973764411,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,124.29125322713097,-236.58250645426193,-224.01643908092933,0.03048702041957024,0.0003073084953627274,0.010079978008131612,17,1,60
ME1 BM2,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.999754837414681,0.0002451926461325792,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,176.09983243845681,-340.19966487691363,-327.63359750358103,0.012854887976072748,0.0003073033836054664,0.023905566830100807,18,1,60
ME1 BM2,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9997548165264533,0.0002452135368713894,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,136.3439487169815,-260.687897433963,-248.12183006063037,0.02493744203042045,0.00030732960564626384,0.012324022859736836,18,2,60
ME1 BM3,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9666822474734945,0.0340195223438577,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,105.12321824738876,-198.24643649477753,-185.68036912144493,0.03339395792470343,0.04273625880403149,1.2797602159166952,17,1,60
ME1 BM3,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9998417546511499,0.00015825787122081302,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,149.56453093391886,-287.1290618678377,-274.5629944945051,0.020005300967098478,0.0001983468679618188,0.009914715519053078,6,4,60
ME1 BM3,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9998417544517865,0.0001582580706136787,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,149.5009834690813,-287.0019669381626,-274.43589956483,0.02002770037263818,0.00019834708465654114,0.009903637510351547,8,4,60
ME1 BM3,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9998417560851542,0.00015825643725147327,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,170.53649210055454,-329.0729842011091,-316.5069168277765,0.014104720578502995,0.00019834501916899525,0.014062314674371707,8,3,60
ME1 BM3,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9998417637600643,0.00015824876203500017,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,201.13975781739583,-390.27951563479166,-377.71344826145906,0.008468800465698652,0.00019833541564157818,0.02341954051756208,8,4,60
ME1 BM3,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9998417544493307,0.00015825807357391995,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,182.0967623177648,-352.1935246355296,-339.627457262197,0.011632673236668181,0.00019834707744367246,0.017050859540904875,8,3,60
ME1 BM3,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9998417480958323,0.00015826442758221698,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150.22076695632794,-288.44153391265587,-275.87546653932327,0.01978891347312497,0.00019835504886250393,0.010023544199730165,9,3,60
ME1 BM3,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.9998417514900751,0.00015826103323989639,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,179.8809320085547,-347.7618640171094,-335.1957966437768,0.01207035010028938,0.00019835079986231977,0.01643289533561785,9,4,60
ME1 BM3,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9998417496033877,0.00015826292005783257,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,171.48705387502167,-330.97410775004334,-318.40804037671074,0.013883725335647417,0.0001983531493479092,0.014286738217056475,9,4,60
ME1 BM4,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9795309957339637,0.020752168232002665,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,145.06661844755067,-278.13323689510133,-265.56716952176873,0.01508915000792168,0.02614552198967437,1.7327365673976458,12,2,60
ME1 BM4,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9998319094555558,0.00016810467405946165,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,177.36954452978208,-342.73908905956415,-330.17302168623155,0.012586309618583225,0.00021068799574378464,0.01673945756369377,7,4,60
ME1 BM4,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9998319170687445,0.00016809706049809538,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,199.52084147990516,-387.0416829598103,-374.4756155864777,0.008700438335160663,0.0002106784491246212,0.024214693675055028,9,3,60
ME1 BM4,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9998319081014291,0.00016810602863972504,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,184.55293137900958,-357.10586275801916,-344.53979538468656,0.011165906293391913,0.00021068966497618744,0.018869016042242406,9,3,60
ME1 BM4,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9998319136316982,0.00016810049802429205,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,198.06601939219965,-384.1320387843993,-371.5659714110667,0.008913972545692848,0.00021068276472565686,0.023635114831877836,9,3,60
ME1 BM4,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9998319117882741,0.00016810234162785136,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,195.1725917164022,-378.3451834328044,-365.7791160594718,0.009354402032436182,0.00021068501582711103,0.022522553028677346,9,3,60
ME1 BM4,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9998318957065445,0.0001681184249239655,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,152.4772259999656,-292.9544519999312,-280.3883846265986,0.019060246320988766,0.0002107052040120017,0.011054694701399389,10,3,60
ME1 BM4,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.9998318992242894,0.0001681149071149205,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,179.54718366338543,-347.09436732677085,-334.52829995343825,0.012137609146999203,0.00021070078221356508,0.017359331616445806,10,3,60
ME1 BM4,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9998318987019083,0.00016811542952892825,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,177.69324963372483,-343.38649926744966,-330.82043189411706,0.012518466434542255,0.00021070143542753562,0.016831249780416096,10,3,60
ME2 BM1,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154911329077,0.0001845258911496923,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,124.23544309133561,-236.47088618267122,-223.90481880933862,0.030514344260365797,0.00023126893284897547,0.007579023520074919,3,5,60
ME2 BM1,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154930875237,0.00018452393659169975,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,157.9178231525672,-303.8356463051344,-291.2695789318018,0.017406672926296284,0.00023126645220468336,0.013286080182233378,8,3,60
ME2 BM1,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154914549601,0.0001845255692905092,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,148.5158257720783,-285.0316515441566,-272.465584170824,0.020353639273211443,0.00023126851543539434,0.011362514208443288,10,3,60
ME2 BM1,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154935280915,0.00018452349602931812,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,161.70937528989407,-311.41875057978814,-298.85268320645554,0.016340120614071717,0.00023126590411811626,0.014153255632578113,10,3,60
ME2 BM1,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154979580565,0.00018451906584804033,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,180.34839362027404,-348.6967872405481,-336.1307198672155,0.011976533807370049,0.00023126036709455067,0.01930945721142114,10,3,60
ME2 BM1,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9998155030410903,0.00018451398245125213,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,191.2956712904943,-370.5913425809886,-358.025275207656,0.009978572368839856,0.00023125405982461715,0.023175064656218308,10,3,60
ME2 BM1,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154885993107,0.00018452842551170854,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,151.24561367567208,-290.49122735134415,-277.92515997801155,0.019453578375543984,0.00023127208327394555,0.01188840833338347,12,3,60
ME2 BM1,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154922042118,0.00018452482041624038,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,171.23906088237777,-330.47812176475554,-317.91205439142294,0.013940312171669963,0.00023126757880565735,0.016589842175532353,12,3,60
ME2 BM1,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9998154883480571,0.0001845286769085972,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156.63496611705222,-301.26993223410443,-288.70386486077183,0.01778229304492259,0.00023127240121237016,0.013005769313784072,12,3,60
ME2 BM2,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752329478784,0.00012477483629631878,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.25598537861964,-298.5119707572393,-285.9459033839067,0.018195369254677983,0.0001563820983355778,0.008594609768382269,2,5,60
ME2 BM2,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9998752360332688,0.00012477175088641633,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,197.2711854941031,-382.5423709882062,-369.9763036148736,0.009033226539872954,0.00015637819926636948,0.017311444429751768,2,5,60
